学科,技能名称,子分类,skills类型,简介,tool_chain_key,实现情况
化学与分子信息学,3D分子结构渲染工具,数据可视化,脚本,用于渲染通用小分子的三维结构，支持MOL、SDF格式。,molPreview,已实现
化学与分子信息学,CP2K,预测与建模,脚本,量子化学与固体物理模拟软件包，主要用于原子级别的分子动力学模拟。,CP2K,未实现
化学与分子信息学,ChEMBL药物检索,数据分析,脚本,根据药物名称、审批状态或其他条件检索ChEMBL数据库中的药物信息,chembl,已实现
化学与分子信息学,LAMMPS,预测与建模,脚本,开源的分子动力学模拟软件，常被用于模拟液体、固体或气态的粒子集合。（磐石：支持对话调用）,lammps,未实现
化学与分子信息学,OpenTargets_按ChEMBL ID获取父分子和子分子,数据分析,脚本,获取指定药物ChEMBL ID的父分子和子分子,opentargetsChemblId,未实现
化学与分子信息学,转录组学标准全流程,转录组学,脚本,一键生成 scRNA-seq 质控、降维聚类、细胞注释、差异分析与通路富集的标准工作流。,x,未实现
化学与分子信息学,三维分子结构可视化,数据分析,脚本,使用RDKit和py3Dmol实现分子三维结构可视化。支持SMILES、MOL文件、SDF内容输入，提供多种可视化风格与交互式3D查看功能。,,未实现
化学与分子信息学,二维分子结构可视化,数据分析,脚本,使用RDKit可视化二维分子结构。支持SMILES、InChI、分子名称等多种输入格式，可输出PNG、SVG及交互式HTML等多种格式。,,未实现
化学与分子信息学,代谢物名称检索,数据分析,脚本,通过RefMet命名法检索代谢物/化合物名称，返回标准化化合物信息（包括分子式、精确质量和分类），适用于通过常用名查找代谢物。,,未实现
化学与分子信息学,依据ChEMBL ID查询药物作用机制,数据分析,脚本,通过ChEMBL ID检索特定药物的作用机制信息。,chemblId,未实现
化学与分子信息学,分子可视化工具,数据可视化,脚本,基于RDKit.js，支持从多种格式读取分子结构并生成2D图像。,rdkitMolecularViewer,未实现
化学与分子信息学,分子格式转换工具,数据处理,脚本,基于RDKit，实现SMILES、SDF、Mol、InChI等化学结构格式的相互转换与标准化。（磐石：支持对话调用）,rdkitTransform,已实现
化学与分子信息学,分子检索,数据分析,脚本,通过名称、ChEMBL ID或其他条件检索分子。支持筛选和分页。注意：某些基于文本的筛选条件（特别是`pref_name__contains`）可能合法返回零结果，因为`pref_name`覆盖不完整且可能不包含常见药物名称。为确保可靠检索，建议优先使用基于ID的筛选条件如`molecule_chembl_id`，或当已有ChEMBL ID时使用`ChEMBL_get_molecule`。,,未实现
化学与分子信息学,化合物检索,数据分析,脚本,通过名称、结构（InChIKey、SMILES）或数据库ID检索化学物质与药物。返回来自DrugBank、ChEMBL、ChEBI和PubChem等数据源的注释信息。,,未实现
化学与分子信息学,化学组分审计信息获取,数据分析,脚本,获取化学组分的审计历史记录：操作类型、日期、详细信息、序号及处理站点,,未实现
化学与分子信息学,化学组分电荷与歧义性获取,数据分析,脚本,检索化学组分的形式电荷与歧义性标记,,未实现
化学与分子信息学,基于质荷比搜索代谢物,数据分析,脚本,通过质荷比(m/z)值从质谱数据中搜索代谢物，用于质谱实验中的代谢物鉴定。,,未实现
化学与分子信息学,子结构搜索,数据分析,脚本,通过SMILES子结构搜索分子。返回包含指定子结构的分子。,,未实现
化学与分子信息学,子结构搜索化合物,数据分析,脚本,在PubChem中搜索包含给定子结构(SMILES)的所有CID,,已实现
化学与分子信息学,实验室检测检索药物名称,数据分析,脚本,根据实验室检测信息检索药物名称,,未实现
化学与分子信息学,按剂型与规格检索药物名称,数据分析,脚本,根据特定剂型与规格信息检索药物名称,,未实现
化学与分子信息学,查询化合物关联专利,数据分析,脚本,获取与特定化合物CID关联的专利列表。,,未实现
化学与分子信息学,查询药品处置信息,数据分析,脚本,根据药品名称检索处置与废弃物处理信息,,未实现
化学与分子信息学,查询药物商品名,数据分析,脚本,根据药物的ChEMBL ID检索其关联的商品名,,未实现
化学与分子信息学,查询药物安全处理警告,数据分析,脚本,根据药物名称检索其安全处理警告信息,,未实现
化学与分子信息学,查询药物成分,数据分析,脚本,根据药物名称检索其成分列表。,,未实现
化学与分子信息学,查询药物活性成分,数据分析,脚本,获取特定药物产品中的活性成分列表,,未实现
化学与分子信息学,查询药物非活性成分,数据分析,脚本,根据药物名称获取特定药品中的非活性成分列表,,未实现
化学与分子信息学,根据ChEMBL ID查询药物警示信息,数据分析,脚本,通过ChEMBL ID检索特定药物的警示信息,chemblId,未实现
化学与分子信息学,根据ChEMBL ID获取药物名称,数据分析,脚本,根据ChEMBL ID获取药物的通用名和商品名（品牌名）。返回药物名称（通常为通用名）、商品名（品牌名）和同义词。,chemblId,未实现
化学与分子信息学,根据处置信息检索药物名称,数据分析,脚本,基于药物处置与废弃物处理信息检索药物名称,,未实现
化学与分子信息学,根据安全信息检索药物名称,数据分析,脚本,根据提供的安全信息检索药物名称，该工具会检索其他字段中可能未明确指定的安全信息。,,未实现
化学与分子信息学,根据活性成分检索药物名称,数据分析,脚本,根据活性成分信息检索药物名称,,未实现
化学与分子信息学,根据装配安装信息检索药物名称,数据分析,脚本,根据装配或安装说明检索药物名称。警告：该工具仅输出预定义的有限数量药物名称，不涵盖所有可能药物，请谨慎使用。,,未实现
化学与分子信息学,检索化合物结构警示,数据分析,脚本,通过分子或警示类型搜索化合物结构警示（毒性警告）。,,未实现
化学与分子信息学,检索含特定成分的药品名称,数据分析,脚本,根据药品中含有的特定成分检索药品名称,,未实现
化学与分子信息学,检索实验室检测干扰药物,数据分析,脚本,检索已知对实验室检测存在干扰的药物名称,,未实现
化学与分子信息学,检索活性数据,数据分析,脚本,通过分子、靶点、实验或活性值搜索ChEMBL数据库中的活性数据。支持按IC50、Ki、EC50等指标过滤。,,未实现
化学与分子信息学,检索相似小分子,数据分析,脚本,通过ChEMBL网络服务，根据给定的SMILES字符串、chembl_id或化合物/药物名称检索相似分子。注意：本工具仅适用于小分子化合物。生物制剂（抗体、蛋白质等）因缺乏SMILES结构而无法使用相似性检索。对于生物制剂的相似性检索，请使用BLAST_protein_search（需提供氨基酸序列）或UniProt_search。对于小分子，可使用PubChem_search_compounds_by_similarity（需提供SMILES输入）。,,已实现
化学与分子信息学,检索药物实验室检测干扰信息,数据分析,脚本,获取特定药物对实验室检测的干扰信息,,未实现
化学与分子信息学,检索药物环境警告,数据分析,脚本,根据药物名称获取其环境警告信息,,未实现
化学与分子信息学,相似分子检索,数据分析,脚本,基于Tanimoto相似度搜索与给定SMILES字符串相似的分子。返回相似度高于阈值的分子。,,未实现
化学与分子信息学,相似性搜索化合物,数据分析,脚本,基于Tanimoto相似度系数搜索化合物，返回与给定SMILES分子相似度高于阈值的化合物CID列表，最多返回10个CID（MaxRecords=10）。,,未实现
化学与分子信息学,精确质量搜索代谢物,数据分析,脚本,通过精确分子质量搜索代谢物。适用于从高分辨率质谱数据中鉴定未知代谢物。,,未实现
化学与分子信息学,药品标签参考文献检索药品名称,数据分析,脚本,根据药品标签中提供的参考文献信息检索药品名称,,未实现
化学与分子信息学,药物参考信息查询,数据分析,脚本,根据药物名称检索相关参考信息。,,未实现
化学与分子信息学,药物名称剂量查询工具,数据分析,脚本,根据药物的剂量和给药信息检索药物名称,,未实现
化学与分子信息学,药物实验室检测信息获取,数据分析,脚本,根据药物名称检索实验室检测信息,,未实现
化学与分子信息学,药物标识符交叉检索,数据分析,脚本,检索DrugBank ID与外部标识符（CAS、KEGG、PubChem、ChEBI、PharmGKB、UniProt等）及网络资源的交叉引用表。,,未实现
化学与分子信息学,药物词汇检索,数据分析,脚本,在DrugBank词汇数据集中通过名称、ID、同义词或其他字段进行文本查询搜索药物。返回详细的药物信息，包括DrugBank ID、通用名、CAS号、UNII和同义词。,,未实现
化学与分子信息学,获取分子信息,数据分析,脚本,通过ChEMBL ID获取分子的详细信息，包括分子属性、结构、同义词及相关数据。,,未实现
化学与分子信息学,获取分子结构图,数据分析,脚本,通过ChEMBL ID获取分子结构图像（SVG格式）。,,未实现
化学与分子信息学,获取化合物生物活性数据,数据分析,脚本,通过ChEMBL化合物记录ID获取该记录的所有生物活性测量数据,,未实现
化学与分子信息学,获取化合物记录信息,数据分析,脚本,通过ChEMBL化合物记录ID获取化合物记录信息,,未实现
化学与分子信息学,获取聚合物分子量,数据分析,脚本,检索聚合物实体的分子量,,未实现
化学与分子信息学,获取药品储存与处理信息,数据分析,脚本,根据药品名称检索其储存与处理信息,,未实现
化学与分子信息学,获取药物ChEMBL ID,数据分析,脚本,根据药物通用名获取其ChEMBL ID和描述信息。,chemblId,未实现
化学与分子信息学,获取药物剂型与规格,数据分析,脚本,根据药物名称检索其剂型与规格信息,,未实现
化学与分子信息学,获取药物同义词,数据分析,脚本,根据ChEMBL ID检索药物的同义词信息,,未实现
化学与分子信息学,获取药物详情,数据分析,脚本,通过ChEMBL药物ID获取药物详细信息，包括批准状态、适应症和作用机制。查找药物ID可使用ChEMBL药物搜索工具。,,未实现
化学与分子信息学,获取药物通用名,数据分析,脚本,根据药物的通用名或商品名获取其通用名称,,未实现
化学与分子信息学,获取配体详细信息,数据分析,脚本,通过GtoPdb配体ID获取特定配体的详细信息。返回包括化学结构（SMILES、InChI）、分子性质、临床数据、关联靶点及亲和力值、数据库交叉引用和同义词等全面数据。使用来自GtoPdb_list_ligands或搜索结果的配体ID。,,未实现
化学与分子信息学,获取配体键数,数据分析,脚本,获取给定PDB结构中每个配体的键数,,未实现
化学与分子信息学,通过PDB ID获取空间群,数据分析,脚本,获取晶体结构的空间群信息,pdbId,未实现
化学与分子信息学,通过PubChem CID查询代谢物信息,数据分析,脚本,通过PubChem化合物ID（CID）获取代谢物信息，可用于与PubChem数据进行交叉引用。,pubchemCid,未实现
化学与分子信息学,通过SMILES获取CID,数据分析,脚本,通过SMILES字符串检索对应的PubChem CID列表,smilesCid,已实现
生物医药,4DN实验元数据查询,数据分析,脚本,获取4DN实验的元数据，包括实验设计、生物源信息、协议详情和关联文件。返回实验类型（Hi-C变体、ATAC-seq、ChIP-seq）、细胞类型、处理状态和输出文件列表。前提条件：需要实验编号 - 通过使用FourDN_search_data（item_type='Experiment'）获取。用途：了解实验背景、查找实验的所有文件、检查数据来源。,4dn,未实现
生物医药,4DN文件元数据查询,数据分析,脚本,获取特定4DN文件的详细元数据，包括Hi-C接触矩阵、TAD（拓扑关联域）调用、A/B隔间注释和染色质环列表。返回文件类型、格式、大小（下载前请检查 - 文件可能达GB级）、描述、关联实验和生物来源信息。前提条件：需要文件编号 - 通过使用FourDN_search_data（item_type='File'）获取。用途：下载前检查文件详情、了解处理流程、获取质量指标。,4dn,未实现
生物医药,ADMET性质预测工具,预测与建模,脚本,预测一组化合物的 ADMET 药代动力学属性，包括溶解性、吸收、代谢、毒性等。（磐石：支持对话调用）,admet,未实现
生物医药,AlphaFold2,预测与建模,模型,根据蛋白质的氨基酸序列预测其三维结构。,AlphaFold2,未实现
生物医药,AlphaFold2-Multimer,预测与建模,模型,根据蛋白质的氨基酸序列预测其三维结构，预测精度高，适合需要高准确度的结构研究。（磐石：支持对话调用）,alphafold2Multimer,未实现
生物医药,AlphaFold数据库查询,信息检索,数据库调用,查询 AlphaFold 数据库并可选下载结构文件。（磐石：支持对话调用）,alphafold,未实现
